Group,Variable,Post-matching SMD,Abs SMD
Demographics,Female sex,-0.16231090465935685,0.16231090465935685
Demographics,Male sex,0.16663665597286345,0.16663665597286345
Demographics,Other sex,-0.015777949017975634,0.015777949017975634
Demographics,Age <45,-0.13769465400420128,0.13769465400420128
Demographics,Age 45–54,-0.06774646783062058,0.06774646783062058
Demographics,Age 55–64,0.07678533298584311,0.07678533298584311
Demographics,Age ≥65,0.11176728342530391,0.11176728342530391
Demographics,White,-0.25637246312478323,0.25637246312478323
Demographics,Black,0.29407722474527503,0.29407722474527503
Demographics,Asian,-0.006717423957904571,0.006717423957904571
Demographics,Other race,0.009417269353834464,0.009417269353834464
Demographics,Not Hispanic,0.006472141976650052,0.006472141976650052
Demographics,Hispanic,-0.0124633724715549,0.0124633724715549
Demographics,Other ethnicity,0.013763299328797322,0.013763299328797322
Clinical,Vaccinated before index,-0.25049705581176707,0.25049705581176707
Clinical,Wave: Pre-Delta,0.08912556406838407,0.08912556406838407
Clinical,Wave: Delta,0.0356213838532213,0.0356213838532213
Clinical,Wave: Omicron,-0.11983819060484481,0.11983819060484481
Comorbidities,Myocardial Infarction,0.10733695877036577,0.10733695877036577
Comorbidities,Congestive Heart Failure,0.19151750921079694,0.19151750921079694
Comorbidities,Peripheral Vascular Disease,0.09633668500004566,0.09633668500004566
Comorbidities,Cerebrovascular Disease,0.1278401998593063,0.1278401998593063
Comorbidities,Dementia,0.10294733001323361,0.10294733001323361
Comorbidities,Chronic Pulmonary Disease,-0.04762454889217027,0.04762454889217027
Comorbidities,Rheumatic Disease,-0.04286308973657425,0.04286308973657425
Comorbidities,Peptic Ulcer Disease,0.024955132804965655,0.024955132804965655
Comorbidities,Liver Disease Mild,-0.07432195719171945,0.07432195719171945
Comorbidities,Liver Disease Moderate Severe,0.08538643042487809,0.08538643042487809
Comorbidities,Diabetes without Chronic Complications,0.018850171532300355,0.018850171532300355
Comorbidities,Diabetes with Chronic Complications,0.13268904989096736,0.13268904989096736
Comorbidities,Hemiplegia Paraplegia,0.040133535086512184,0.040133535086512184
Comorbidities,Renal Disease Mild Moderate,0.0856129964875412,0.0856129964875412
Comorbidities,Renal Disease Severe,0.15216542251834392,0.15216542251834392
Comorbidities,HIV,0.022210499875079597,0.022210499875079597
Comorbidities,Metastatic Solid Tumor,0.05128560393454921,0.05128560393454921
Comorbidities,Malignancy,0.04018681640449904,0.04018681640449904
Comorbidities,AIDS,-0.0002834173816682637,0.0002834173816682637
SDoH,Insurance: Employer,-0.16948707995735013,0.16948707995735013
SDoH,Insurance: Medicare,0.029956426909756466,0.029956426909756466
SDoH,Insurance: Medicaid,0.18269768041463744,0.18269768041463744
SDoH,Insurance: Other/None,0.026233421701888294,0.026233421701888294
SDoH,Income: <$10K,0.06719733458262318,0.06719733458262318
SDoH,Income: $10–25K,0.04315668001395923,0.04315668001395923
SDoH,Income: $25–35K,-0.031743540165340235,0.031743540165340235
SDoH,Income: $35–100K,-0.17783253571592242,0.17783253571592242
SDoH,Income: $100–150K,-0.052063879016993594,0.052063879016993594
SDoH,Income: $150–200K,-0.040037102178926684,0.040037102178926684
SDoH,Income: ≥$200K,-0.04167971838201456,0.04167971838201456
SDoH,Education: Below GED,0.10614733570490827,0.10614733570490827
SDoH,Education: GED/some college,0.02167562273573846,0.02167562273573846
SDoH,Education: College+,-0.12350070174342323,0.12350070174342323
SDoH,Employment: Employed,-0.23209553730825894,0.23209553730825894
SDoH,Employment: Unemployed,0.11430178276530088,0.11430178276530088
SDoH,Employment: Retired/other,0.1078013601610503,0.1078013601610503
SDoH,Housing: Own,-0.11075284312756886,0.11075284312756886
SDoH,Housing: Rent,0.1282078320145226,0.1282078320145226
SDoH,Housing: Stable,-0.017669639826319448,0.017669639826319448
SDoH,Housing: Unstable,0.005025221890479831,0.005025221890479831
SDoH,Disability: Any,-0.002827535407761505,0.002827535407761505
SDoH,Disability: No,-0.03631634812951894,0.03631634812951894
