variable,AOR,CI_exact_lower,CI_exact_upper,CI_robust_lower,CI_robust_upper,CI_ratio,flip
f.sexFemale,0.55,0.54,0.56,0.54,0.55,0.5,
f.age45-54,1.31,1.29,1.34,1.29,1.33,0.8,
f.age55-64,1.53,1.5,1.55,1.5,1.55,1,
f.age65+,1.46,1.27,1.67,1.26,1.68,1.05,
f.vaccVaccinated,0.49,0.47,0.5,0.48,0.5,0.67,
f.wavedelta,1.48,1.45,1.5,1.46,1.5,0.8,
f.waveomicron,0.46,0.46,0.47,0.46,0.47,1,
f.planBasic,2.69,1.42,5.1,1.49,4.87,0.92,
f.planCDHP,1.16,0.95,1.42,0.96,1.4,0.94,
f.planComprehensive,1.13,1.08,1.19,1.08,1.18,0.91,
f.planEPO,0.92,0.86,0.98,0.86,0.97,0.92,
f.planHDHP,1.09,1.07,1.12,1.07,1.12,1,
f.planHMO,1.09,1.06,1.12,1.07,1.11,0.67,
f.planPOS,1,0.98,1.03,0.98,1.03,1,
f.planUnknown,1.06,1.04,1.08,1.04,1.08,1,
f.regionNorthCentral,1.05,1.03,1.07,1.03,1.07,1,
f.regionNortheast,0.82,0.8,0.84,0.8,0.84,1,
f.regionUnknown,1.19,1.03,1.38,1.04,1.37,0.94,
f.regionWest,1.09,1.07,1.12,1.07,1.11,0.8,
Myocardial_Infarction,1.56,1.51,1.61,1.51,1.61,1,
Congestive_Heart_Failure,1.84,1.79,1.88,1.79,1.88,1,
Peripheral_Vascular_Disease,0.93,0.91,0.95,0.91,0.95,1,
Cerebrovascular_Disease,0.99,0.97,1.02,0.97,1.02,1,
Dementia,1.89,1.78,2,1.78,2,1,
Chronic_Pulmonary_Disease,1.13,1.12,1.15,1.12,1.15,1,
Rheumatic_Disease,0.84,0.82,0.87,0.82,0.87,1,
Peptic_Ulcer_Disease,0.88,0.84,0.92,0.84,0.92,1,
Liver_Disease_Mild,1.09,1.07,1.12,1.07,1.11,0.8,
Liver_Disease_Moderate_Severe,1.59,1.48,1.69,1.48,1.7,1.05,
Diabetes_without_Chronic_Complications,1.8,1.77,1.83,1.77,1.83,1,
Diabetes_with_Chronic_Complications,1.72,1.68,1.76,1.68,1.76,1,
Hemiplegia_Paraplegia,2.03,1.93,2.13,1.93,2.13,1,
Renal_Disease_Mild_Moderate,1.42,1.38,1.46,1.38,1.45,0.88,
Renal_Disease_Severe,2.65,2.53,2.77,2.53,2.77,1,
HIV,0.83,0.74,0.93,0.75,0.92,0.89,
Metastatic_Solid_Tumor,1.47,1.41,1.54,1.4,1.54,1.08,
Malignancy,0.96,0.93,0.99,0.93,0.99,1,
AIDS,1.59,1.38,1.83,1.38,1.82,0.98,
