Variable,AoU AOR (95% CI),MS AOR (95% CI),Direction concordant?
Female sex,0.77 (0.71–0.83)*,0.58 (0.58–0.59)*,Yes
Other sex,0.61 (0.42–0.88)*,nan (nan–nan),Yes
Vaccinated before index,0.45 (0.40–0.51)*,0.47 (0.45–0.48)*,Yes
Age 45–54,1.03 (0.91–1.15),1.26 (1.24–1.28)*,Yes
Age 55–64,1.31 (1.18–1.46)*,1.45 (1.42–1.47)*,Yes
Age ≥65,1.45 (1.30–1.62)*,1.33 (1.16–1.52)*,Yes
Black race,2.28 (2.08–2.50)*,—,—
Asian race,1.34 (1.00–1.79)*,—,—
Other race,1.54 (1.27–1.87)*,—,—
Hispanic ethnicity,0.87 (0.72–1.05),—,—
Other ethnicity,0.90 (0.69–1.19),—,—
Delta wave,1.23 (1.11–1.37)*,1.50 (1.47–1.52)*,Yes
Omicron wave,0.98 (0.90–1.07),0.43 (0.42–0.44)*,Yes
Myocardial infarction,0.97 (0.87–1.08),1.70 (1.64–1.76)*,No
Congestive heart failure,1.24 (1.13–1.37)*,1.88 (1.83–1.93)*,Yes
Peripheral vascular disease,0.97 (0.88–1.07),0.99 (0.96–1.01),Yes
Cerebrovascular disease,1.27 (1.15–1.40)*,1.03 (1.01–1.06)*,Yes
Dementia,1.24 (1.08–1.43)*,2.17 (2.04–2.30)*,Yes
Chronic pulmonary disease,0.90 (0.83–0.97)*,1.15 (1.13–1.17)*,No
Rheumatic disease,0.91 (0.81–1.02),0.97 (0.94–1.01),Yes
Peptic ulcer disease,1.01 (0.89–1.14),0.90 (0.86–0.94)*,No
Liver disease (mild),0.85 (0.78–0.93)*,1.17 (1.15–1.20)*,No
Liver disease (mod/severe),1.27 (1.05–1.53)*,1.76 (1.65–1.88)*,Yes
DM w/o complications,1.06 (0.95–1.18),1.82 (1.79–1.85)*,Yes
DM w/ complications,1.01 (0.91–1.12),1.87 (1.82–1.91)*,Yes
Hemiplegia/paraplegia,1.12 (0.95–1.31),1.62 (1.55–1.70)*,Yes
Renal disease (mild/mod),1.12 (1.00–1.25)*,1.46 (1.42–1.50)*,Yes
Renal disease (severe),1.32 (1.16–1.52)*,2.34 (2.24–2.45)*,Yes
HIV,0.99 (0.68–1.44),1.17 (1.04–1.31)*,No
Metastatic solid tumor,1.27 (1.08–1.50)*,1.27 (1.22–1.33)*,Yes
Malignancy,1.08 (0.98–1.20),1.01 (0.98–1.04),Yes
AIDS,0.80 (0.61–1.07),2.13 (1.85–2.45)*,No
